Device: cpu
Dataset: movielens
Round 1: loss=0.6135, AUC=0.5230
Round 2: loss=0.5842, AUC=0.5317
Round 3: loss=0.5754, AUC=0.5356
Round 4: loss=0.5681, AUC=0.5388
Round 5: loss=0.5628, AUC=0.5413
Round 6: loss=0.5589, AUC=0.5435
Round 7: loss=0.5555, AUC=0.5452
Round 8: loss=0.5533, AUC=0.5463
Round 9: loss=0.5508, AUC=0.5471
Round 10: loss=0.5492, AUC=0.5471
Saved: outputs/tables/fedavg_movielens.csv
