dataset,round,loss,auc,clients,local_epochs
movielens,1,0.6134913233711453,0.5230415075500668,10,1
movielens,2,0.5842377178264593,0.5317057257954773,10,1
movielens,3,0.5754145059527546,0.5356114309463511,10,1
movielens,4,0.5680602662459757,0.5387759925697557,10,1
movielens,5,0.5628446948433729,0.5412508522130799,10,1
movielens,6,0.5589038527850093,0.5434608558717751,10,1
movielens,7,0.5554948000877771,0.5452067525302386,10,1
movielens,8,0.5533277446783628,0.5462860052590485,10,1
movielens,9,0.5508199547445614,0.5471169448797022,10,1
movielens,10,0.5491580573249373,0.5470824994382787,10,1
