dataset,round,loss,auc,clients,local_epochs,clip_norm,noise_std,epsilon
movielens,1,0.674311478876735,0.5460446039006517,10,1,1.0,0.002,2.0
movielens,2,0.6648713579396859,0.5795647773153201,10,1,1.0,0.002,2.0
movielens,3,0.6567553271759233,0.6094174743310644,10,1,1.0,0.002,2.0
movielens,4,0.6479109569589363,0.6352252114343909,10,1,1.0,0.002,2.0
movielens,5,0.6397578419721975,0.6553236732754703,10,1,1.0,0.002,2.0
movielens,6,0.632192846185377,0.6721559934331579,10,1,1.0,0.002,2.0
movielens,7,0.6250958678429813,0.6847237073356665,10,1,1.0,0.002,2.0
movielens,8,0.618356697538939,0.6948773510005212,10,1,1.0,0.002,2.0
movielens,9,0.6127399181681383,0.7036371440151442,10,1,1.0,0.002,2.0
movielens,10,0.6076008455209254,0.7101234245884478,10,1,1.0,0.002,2.0
