dataset,round,loss,auc,clients,local_epochs,clip_norm,noise_std,epsilon
movielens,1,0.674311478876735,0.5459029696842724,10,1,1.0,0.006,1.0
movielens,2,0.6648677902778888,0.5793054733919729,10,1,1.0,0.006,1.0
movielens,3,0.6567699264055793,0.609320086643882,10,1,1.0,0.006,1.0
movielens,4,0.6479394257592219,0.6347424653712839,10,1,1.0,0.006,1.0
movielens,5,0.6398024077247004,0.6551232325324503,10,1,1.0,0.006,1.0
movielens,6,0.6322505218945833,0.6719321547175922,10,1,1.0,0.006,1.0
movielens,7,0.625177172517245,0.6848521412430794,10,1,1.0,0.006,1.0
movielens,8,0.6184207990373514,0.6948928174569498,10,1,1.0,0.006,1.0
movielens,9,0.6128181385817213,0.7035410027090659,10,1,1.0,0.006,1.0
movielens,10,0.6076881821188416,0.7101120938511374,10,1,1.0,0.006,1.0
