dataset,epoch,loss,auc
movielens,1,0.6469959421658221,0.7169889449395284
movielens,2,0.5796306568653986,0.7580868888526053
movielens,3,0.554995783194593,0.7725270637493342
movielens,4,0.5447803134780852,0.7794197778699596
movielens,5,0.5393833850391607,0.781604344023393
