dataset,round,loss,auc,clients,local_epochs
amazon_beauty,1,0.7056669328532188,0.49981637069594287,10,1
amazon_beauty,2,0.6016847081238927,0.5029805759536805,10,1
amazon_beauty,3,0.5404792522195897,0.5067131623409272,10,1
amazon_beauty,4,0.5315018023248591,0.5088127607379987,10,1
amazon_beauty,5,0.5305978567187304,0.5097229303071981,10,1
amazon_beauty,6,0.5298613229413438,0.5109443054222949,10,1
amazon_beauty,7,0.5286117413269928,0.5121278023892283,10,1
amazon_beauty,8,0.5287320441669888,0.5138095536848039,10,1
amazon_beauty,9,0.5279419056535546,0.5148153147257398,10,1
amazon_beauty,10,0.5272865302812041,0.5155196503696291,10,1
